PartyID,PartyName,LicenseTypeID,LicenseType,Current_Salesmen,Cases_Last45Days,Cases_FY25_26,City,Pincode,Address,Verdict,Notes
D07340,KALPARANJAN HOTEL (MORGAON SUPA),180002,FL III (Permit Room),SM3=SURESH NAIR,0.0,10.0,PUNE CITY,,"GATE NO 426/2 , KALKHEDWADITAL , BARAMATI , DIST PUNE ",,
D07380,KAMBLE BEER SHOPEE (LONAVALA),180004,Beer Shopee,SM3=SURESH NAIR,0.0,20.0,,,"APS GRAND APARTMENT, BHANGARWADI ROAD, BHANGARWADI, LONAVALA	",,
D07436,KARACHI BIRYANI HOUSE (RAHATANI),180002,FL III (Permit Room),SM3=SURESH NAIR,0.0,0.0,,,"KARACHI BIRYANI HOUSE, OFFICE NO 404405 ROYAL TRANQUIL, 4th FLOOR SR NO 6 KOKANE CHOWK RAHTANI, Pimp",,
D00106,KAUSHAL WINES,180001,FL II (Wine shop),SM1=Z KISHOR CHANDAK Â· SM3=SURESH NAIR,0.0,10.0,,411 018,S.NO.167 PIMPRI PUNE,,
D07458,KHUSHBOO BEER SHOPEE ( BOPKHEL ),180004,Beer Shopee,SM3=SURESH NAIR,0.0,100.0,PUNE CITY,,"SR NO 148/1/1/61 , SHOP NO 2 , GANESH NAGAR , BOPKHEL",,
D07381,KINGS BEER SHOPEE 342 (MANCHAR),180004,Beer Shopee,SM3=SURESH NAIR,0.0,40.0,,,"MILKAT NO.305/265,WARD NO.1,PUNENASHIK ROAD,MANCHAR, TAL-AMBEGAON DIST-PUNE",,
D07346,KINGS RESTAURANT ( DAUND),180002,FL III (Permit Room),SM3=SURESH NAIR,0.0,10.0,PUNE CITY,413801,"GATE NO 97 , LINGALI ROAD , DAUND ",,
D06323,KINGSTON BEER SHOPPEE (HADAPSAR),180004,Beer Shopee,SM3=SURESH NAIR,0.0,25.0,PUNE,,SR NO. 14910-11A SHOP NO 4 DALVI VASTI MAGARPATTA RD HADAPSAR,,
D07382,KIRAN BEER SHOPEE 365 (KHED),180004,Beer Shopee,SM3=SURESH NAIR,0.0,30.0,,,"MILKAT NO.2158,GAT NO.400/5, WADA,TAL-KHED,DIST-PUNE",,
D07383,KISHOR BEER SHOPEE (CHAKAN),180004,Beer Shopee,SM3=SURESH NAIR,0.0,20.0,,,"MAHATMA PHULE CHOWK,CHAKAN TAL KHED DIST PUNE",,
D07384,KISMAT RESTAURANT & BAR (LONAVALA),180002,FL III (Permit Room),SM3=SURESH NAIR,0.0,8.0,,,"G WARD-350,NEAR L.M.C.SHIVAJI CHOWK, LONAVALA, TAL. MAVAL,DIST-PUNE.",,
D00111,KISMAT WINES (LONAVALA),180001,FL II (Wine shop),SM1=Z NITIN KAPRE Â· SM3=SURESH NAIR,0.0,10.0,PUNE,,"SHOP NO.2,PLOT NO.4. F.WARD DHANDAKAR BLDG LONAVALA",,
